ticker,name,year,esg,e,s,g,sector,industry
D,DOMINION ENERGY,2021,86.27,50.5,81.56,66.13,Utilities,Utilities - Regulated Electric
D,DOMINION ENERGY,2022,86.53,45.86,79.08,63.68,Utilities,Utilities - Regulated Electric
D,DOMINION ENERGY,2023,81.78,31.01,78.79,70.18,Utilities,Utilities - Regulated Electric
D,DOMINION ENERGY,2024,80.68,36.0,76.52,68.66,Utilities,Utilities - Regulated Electric
DAL,DELTA AIR LINES,2020,93.54,28.78,59.44,,Industrials,Airlines
DAL,DELTA AIR LINES,2021,95.69,17.56,60.46,,Industrials,Airlines
DAL,DELTA AIR LINES,2022,92.46,31.97,63.96,54.52,Industrials,Airlines
DAL,DELTA AIR LINES,2023,91.65,18.87,61.47,48.82,Industrials,Airlines
DAL,DELTA AIR LINES,2024,89.34,27.87,62.69,54.89,Industrials,Airlines
DASH,DOORDASH A,2020,56.31,56.51,39.96,80.45,Consumer Cyclical,Internet Retail
DASH,DOORDASH A,2021,53.74,52.82,34.91,75.14,Consumer Cyclical,Internet Retail
DASH,DOORDASH A,2022,52.83,54.39,31.87,71.2,Consumer Cyclical,Internet Retail
DASH,DOORDASH A,2023,43.39,57.74,27.12,71.2,Consumer Cyclical,Internet Retail
DASH,DOORDASH A,2024,42.95,60.86,51.89,67.86,Consumer Cyclical,Internet Retail
DAY,DAYFORCE,2020,64.1,29.22,85.18,66.48,Technology,Software - Application
DAY,DAYFORCE,2021,65.02,28.94,92.67,74.3,Technology,Software - Application
DAY,DAYFORCE,2022,61.58,28.77,91.57,74.07,Technology,Software - Application
DAY,DAYFORCE,2023,64.34,24.18,90.31,60.86,Technology,Software - Application
DAY,DAYFORCE,2024,69.82,19.69,89.18,28.13,Technology,Software - Application
DD,DUPONT DE NEMOURS,2020,37.5,80.15,80.32,59.03,Basic Materials,Specialty Chemicals
DD,DUPONT DE NEMOURS,2021,42.66,79.88,78.14,58.07,Basic Materials,Specialty Chemicals
DD,DUPONT DE NEMOURS,2022,68.74,79.31,77.93,62.5,Basic Materials,Specialty Chemicals
DD,DUPONT DE NEMOURS,2023,83.41,78.57,75.1,63.92,Basic Materials,Specialty Chemicals
DD,DUPONT DE NEMOURS,2024,69.11,78.44,75.79,61.04,Basic Materials,Specialty Chemicals
DDOG,DATADOG A,2020,84.45,54.11,68.85,96.35,Technology,Software - Application
DDOG,DATADOG A,2021,70.9,55.41,76.89,96.2,Technology,Software - Application
DDOG,DATADOG A,2022,76.63,52.07,67.6,96.33,Technology,Software - Application
DDOG,DATADOG A,2023,85.41,55.47,65.9,94.24,Technology,Software - Application
DDOG,DATADOG A,2024,82.63,54.94,71.82,89.39,Technology,Software - Application
DE,DEERE,2020,77.6,29.71,57.88,63.59,Industrials,Farm & Heavy Construction Machinery
DE,DEERE,2021,83.94,26.74,68.54,60.6,Industrials,Farm & Heavy Construction Machinery
DE,DEERE,2022,89.96,62.6,68.33,65.56,Industrials,Farm & Heavy Construction Machinery
DE,DEERE,2023,88.59,66.37,62.58,63.37,Industrials,Farm & Heavy Construction Machinery
DE,DEERE,2024,87.17,58.63,60.93,57.27,Industrials,Farm & Heavy Construction Machinery
DECK,DECKERS OUTDOOR,2020,88.44,84.03,72.29,46.74,Consumer Cyclical,Footwear & Accessories
DECK,DECKERS OUTDOOR,2021,88.38,96.61,74.68,58.47,Consumer Cyclical,Footwear & Accessories
DECK,DECKERS OUTDOOR,2022,87.74,89.02,76.53,58.32,Consumer Cyclical,Footwear & Accessories
DECK,DECKERS OUTDOOR,2023,84.55,91.52,51.48,54.89,Consumer Cyclical,Footwear & Accessories
DECK,DECKERS OUTDOOR,2024,78.43,87.83,49.18,54.4,Consumer Cyclical,Footwear & Accessories
DELL,DELL TECHNOLOGIES C,2020,71.44,73.59,74.59,76.57,Technology,Computer Hardware
DELL,DELL TECHNOLOGIES C,2021,57.43,71.85,77.54,78.14,Technology,Computer Hardware
DELL,DELL TECHNOLOGIES C,2022,64.8,66.96,71.09,77.68,Technology,Computer Hardware
DELL,DELL TECHNOLOGIES C,2023,68.09,69.04,72.43,78.28,Technology,Computer Hardware
DELL,DELL TECHNOLOGIES C,2024,61.68,69.96,72.96,75.95,Technology,Computer Hardware
DG,DOLLAR GENERAL,2020,75.92,87.58,53.35,45.52,Consumer Defensive,Discount Stores
DG,DOLLAR GENERAL,2021,74.67,88.13,48.1,45.84,Consumer Defensive,Discount Stores
DG,DOLLAR GENERAL,2022,77.49,89.06,46.97,46.59,Consumer Defensive,Discount Stores
DG,DOLLAR GENERAL,2023,73.03,89.22,46.89,44.79,Consumer Defensive,Discount Stores
DG,DOLLAR GENERAL,2024,55.11,88.09,46.32,41.84,Consumer Defensive,Discount Stores
DGX,QUEST DIAGNOSTICS,2020,35.4,22.92,84.43,49.24,Healthcare,Diagnostics & Research
DGX,QUEST DIAGNOSTICS,2021,42.64,18.67,78.31,36.44,Healthcare,Diagnostics & Research
DGX,QUEST DIAGNOSTICS,2022,41.43,18.76,75.79,27.79,Healthcare,Diagnostics & Research
DGX,QUEST DIAGNOSTICS,2023,43.35,20.81,73.34,36.65,Healthcare,Diagnostics & Research
DGX,QUEST DIAGNOSTICS,2024,41.39,18.88,70.88,42.21,Healthcare,Diagnostics & Research
DHI,D R HORTON,2020,65.02,64.49,87.43,88.37,Consumer Cyclical,Residential Construction
DHI,D R HORTON,2021,65.75,66.23,87.55,83.44,Consumer Cyclical,Residential Construction
DHI,D R HORTON,2022,66.59,74.71,78.53,84.26,Consumer Cyclical,Residential Construction
DHI,D R HORTON,2023,66.24,76.86,82.58,82.79,Consumer Cyclical,Residential Construction
DHI,D R HORTON,2024,65.13,72.36,63.65,83.0,Consumer Cyclical,Residential Construction
DHR,DANAHER,2020,77.76,38.58,83.42,64.12,Healthcare,Diagnostics & Research
DHR,DANAHER,2021,83.92,44.67,78.2,73.19,Healthcare,Diagnostics & Research
DHR,DANAHER,2022,75.1,68.05,67.22,67.92,Healthcare,Diagnostics & Research
DHR,DANAHER,2023,70.44,68.81,67.82,64.23,Healthcare,Diagnostics & Research
DHR,DANAHER,2024,64.17,64.49,69.98,62.7,Healthcare,Diagnostics & Research
DIS,WALT DISNEY,2020,83.16,77.28,79.0,61.66,Communication Services,Entertainment
DIS,WALT DISNEY,2021,81.72,71.32,78.62,69.86,Communication Services,Entertainment
DIS,WALT DISNEY,2022,75.79,53.35,77.93,74.75,Communication Services,Entertainment
DIS,WALT DISNEY,2023,76.31,51.86,77.49,75.43,Communication Services,Entertainment
DIS,WALT DISNEY,2024,75.25,50.45,74.2,85.98,Communication Services,Entertainment
DLR,DIGITAL REALTY TST.,2020,88.69,67.23,83.26,79.37,Real Estate,REIT - Specialty
DLR,DIGITAL REALTY TST.,2021,88.36,62.66,87.31,81.13,Real Estate,REIT - Specialty
DLR,DIGITAL REALTY TST.,2022,89.87,75.07,84.53,78.19,Real Estate,REIT - Specialty
DLR,DIGITAL REALTY TST.,2023,87.61,73.85,84.6,72.83,Real Estate,REIT - Specialty
DLR,DIGITAL REALTY TST.,2024,85.15,82.36,81.96,73.52,Real Estate,REIT - Specialty
DLTR,DOLLAR TREE,2020,85.99,86.03,78.07,45.81,Consumer Defensive,Discount Stores
DLTR,DOLLAR TREE,2021,86.37,81.14,81.08,64.42,Consumer Defensive,Discount Stores
DLTR,DOLLAR TREE,2022,62.31,62.1,76.7,59.72,Consumer Defensive,Discount Stores
DLTR,DOLLAR TREE,2023,81.18,62.21,87.24,58.62,Consumer Defensive,Discount Stores
DLTR,DOLLAR TREE,2024,82.12,55.03,82.67,49.66,Consumer Defensive,Discount Stores
DOC,HEALTHPEAK PROPERTIES,2020,71.48,21.11,73.31,73.29,Real Estate,REIT - Healthcare Facilities
DOC,HEALTHPEAK PROPERTIES,2021,67.97,25.45,74.61,73.67,Real Estate,REIT - Healthcare Facilities
DOC,HEALTHPEAK PROPERTIES,2022,75.07,32.05,72.06,71.05,Real Estate,REIT - Healthcare Facilities
DOC,HEALTHPEAK PROPERTIES,2023,74.18,27.4,72.45,72.2,Real Estate,REIT - Healthcare Facilities
DOC,HEALTHPEAK PROPERTIES,2024,79.09,28.37,71.74,68.02,Real Estate,REIT - Healthcare Facilities
DOV,DOVER,2020,78.28,85.55,60.92,37.36,Industrials,Specialty Industrial Machinery
DOV,DOVER,2021,76.91,81.25,73.17,47.31,Industrials,Specialty Industrial Machinery
DOV,DOVER,2022,74.5,79.35,58.39,46.53,Industrials,Specialty Industrial Machinery
DOV,DOVER,2023,70.61,82.06,92.25,38.95,Industrials,Specialty Industrial Machinery
DOV,DOVER,2024,65.77,81.61,80.44,36.19,Industrials,Specialty Industrial Machinery
DOW,DOW ORD SHS,2020,1.41,66.77,83.13,89.74,Basic Materials,Chemicals
DOW,DOW ORD SHS,2021,1.38,66.39,83.78,89.42,Basic Materials,Chemicals
DOW,DOW ORD SHS,2022,1.17,58.98,70.81,88.93,Basic Materials,Chemicals
DOW,DOW ORD SHS,2023,1.22,66.54,74.94,87.8,Basic Materials,Chemicals
DOW,DOW ORD SHS,2024,4.78,59.08,76.96,87.06,Basic Materials,Chemicals
DPZ,DOMINO'S PIZZA,2020,23.4,66.84,10.4,79.69,Consumer Cyclical,Restaurants
DPZ,DOMINO'S PIZZA,2021,37.0,71.92,5.77,84.09,Consumer Cyclical,Restaurants
DPZ,DOMINO'S PIZZA,2022,38.87,63.73,6.21,85.97,Consumer Cyclical,Restaurants
DPZ,DOMINO'S PIZZA,2023,46.28,82.11,23.25,80.51,Consumer Cyclical,Restaurants
DPZ,DOMINO'S PIZZA,2024,44.15,80.86,21.85,78.46,Consumer Cyclical,Restaurants
DRI,DARDEN RESTAURANTS,2020,54.64,79.93,52.22,13.05,Consumer Cyclical,Restaurants
DRI,DARDEN RESTAURANTS,2021,49.68,77.62,54.25,17.56,Consumer Cyclical,Restaurants
DRI,DARDEN RESTAURANTS,2022,39.79,75.27,60.12,17.82,Consumer Cyclical,Restaurants
DRI,DARDEN RESTAURANTS,2023,35.51,74.19,58.63,19.05,Consumer Cyclical,Restaurants
DRI,DARDEN RESTAURANTS,2024,22.05,73.16,57.54,16.17,Consumer Cyclical,Restaurants
DTE,DTE ENERGY,2020,66.59,87.06,88.31,60.51,Utilities,Utilities - Regulated Electric
DTE,DTE ENERGY,2021,63.85,85.61,86.2,49.6,Utilities,Utilities - Regulated Electric
DTE,DTE ENERGY,2022,64.96,85.52,86.78,49.15,Utilities,Utilities - Regulated Electric
DTE,DTE ENERGY,2023,62.22,81.65,83.32,42.18,Utilities,Utilities - Regulated Electric
DTE,DTE ENERGY,2024,58.0,80.91,81.01,42.96,Utilities,Utilities - Regulated Electric
DUK,DUKE ENERGY,2020,43.16,34.54,59.19,82.47,Utilities,Utilities - Regulated Electric
DUK,DUKE ENERGY,2021,26.41,40.68,58.18,81.51,Utilities,Utilities - Regulated Electric
DUK,DUKE ENERGY,2022,42.44,52.58,64.44,79.18,Utilities,Utilities - Regulated Electric
DUK,DUKE ENERGY,2023,31.12,42.48,59.18,76.73,Utilities,Utilities - Regulated Electric
DUK,DUKE ENERGY,2024,39.1,39.44,60.62,79.77,Utilities,Utilities - Regulated Electric
DVA,DAVITA,2020,50.14,68.42,93.26,,Healthcare,Medical Care Facilities
DVA,DAVITA,2021,75.38,68.82,89.5,,Healthcare,Medical Care Facilities
DVA,DAVITA,2022,71.92,68.89,91.38,0.0,Healthcare,Medical Care Facilities
DVA,DAVITA,2023,71.76,64.9,88.97,7.37,Healthcare,Medical Care Facilities
DVA,DAVITA,2024,65.27,59.13,82.61,6.6,Healthcare,Medical Care Facilities
DVN,DEVON ENERGY,2020,60.49,75.43,80.73,83.47,Energy,Oil & Gas E&P
DVN,DEVON ENERGY,2021,60.93,74.96,90.8,82.96,Energy,Oil & Gas E&P
DVN,DEVON ENERGY,2022,58.06,76.26,93.31,80.1,Energy,Oil & Gas E&P
DVN,DEVON ENERGY,2023,58.24,71.14,92.56,76.33,Energy,Oil & Gas E&P
DVN,DEVON ENERGY,2024,57.22,74.41,94.72,67.77,Energy,Oil & Gas E&P
DXCM,DEXCOM,2020,80.48,86.09,63.01,76.98,Healthcare,Medical Devices
DXCM,DEXCOM,2021,80.49,82.58,64.46,75.94,Healthcare,Medical Devices
DXCM,DEXCOM,2022,63.73,83.54,66.66,76.91,Healthcare,Medical Devices
DXCM,DEXCOM,2023,68.61,79.06,67.03,77.43,Healthcare,Medical Devices
DXCM,DEXCOM,2024,75.93,76.48,63.6,75.21,Healthcare,Medical Devices
EA,ELECTRONIC ARTS,2020,81.62,57.63,80.75,82.69,Communication Services,Electronic Gaming & Multimedia
EA,ELECTRONIC ARTS,2021,81.85,66.2,76.67,67.78,Communication Services,Electronic Gaming & Multimedia
EA,ELECTRONIC ARTS,2022,81.3,65.6,75.67,64.3,Communication Services,Electronic Gaming & Multimedia
EA,ELECTRONIC ARTS,2023,80.09,70.29,69.23,52.38,Communication Services,Electronic Gaming & Multimedia
EA,ELECTRONIC ARTS,2024,79.13,67.18,64.45,77.55,Communication Services,Electronic Gaming & Multimedia
EBAY,EBAY,2020,74.29,67.67,43.62,36.56,Consumer Cyclical,Internet Retail
EBAY,EBAY,2021,74.22,68.06,70.39,32.6,Consumer Cyclical,Internet Retail
EBAY,EBAY,2022,79.48,74.05,77.4,42.84,Consumer Cyclical,Internet Retail
EBAY,EBAY,2023,77.49,75.96,76.52,39.64,Consumer Cyclical,Internet Retail
EBAY,EBAY,2024,76.06,69.79,77.71,36.71,Consumer Cyclical,Internet Retail
ECL,ECOLAB,2020,34.42,56.12,69.7,91.57,Basic Materials,Specialty Chemicals
ECL,ECOLAB,2021,44.36,58.18,67.4,90.17,Basic Materials,Specialty Chemicals
ECL,ECOLAB,2022,36.71,59.6,59.12,93.04,Basic Materials,Specialty Chemicals
ECL,ECOLAB,2023,45.56,66.81,74.93,91.35,Basic Materials,Specialty Chemicals
ECL,ECOLAB,2024,45.84,65.3,61.0,90.25,Basic Materials,Specialty Chemicals
ED,CONSOLIDATED EDISON,2020,59.13,66.89,52.63,51.72,Utilities,Utilities - Regulated Electric
ED,CONSOLIDATED EDISON,2021,60.95,62.71,48.9,65.15,Utilities,Utilities - Regulated Electric
ED,CONSOLIDATED EDISON,2022,69.5,56.94,28.28,62.41,Utilities,Utilities - Regulated Electric
ED,CONSOLIDATED EDISON,2023,63.08,60.31,40.64,64.12,Utilities,Utilities - Regulated Electric
ED,CONSOLIDATED EDISON,2024,60.73,61.76,42.53,74.53,Utilities,Utilities - Regulated Electric
EFX,EQUIFAX,2020,69.61,54.91,65.67,92.59,Industrials,Consulting Services
EFX,EQUIFAX,2021,66.98,58.96,87.2,92.42,Industrials,Consulting Services
EFX,EQUIFAX,2022,62.93,57.89,84.76,94.69,Industrials,Consulting Services
EFX,EQUIFAX,2023,62.89,51.59,83.04,89.45,Industrials,Consulting Services
EFX,EQUIFAX,2024,54.12,52.64,81.61,93.72,Industrials,Consulting Services
EG,EVEREST GROUP,2020,64.93,33.21,62.58,72.3,Financial Services,Insurance - Reinsurance
EG,EVEREST GROUP,2021,70.25,32.74,71.06,79.96,Financial Services,Insurance - Reinsurance
EG,EVEREST GROUP,2022,68.84,30.21,70.59,78.68,Financial Services,Insurance - Reinsurance
EG,EVEREST GROUP,2023,66.78,28.5,62.63,78.07,Financial Services,Insurance - Reinsurance
EG,EVEREST GROUP,2024,77.91,19.46,60.41,75.78,Financial Services,Insurance - Reinsurance
EIX,EDISON INTL.,2020,76.81,51.39,57.82,,Utilities,Utilities - Regulated Electric
EIX,EDISON INTL.,2021,79.72,59.75,49.78,,Utilities,Utilities - Regulated Electric
EIX,EDISON INTL.,2022,81.21,60.72,54.46,23.49,Utilities,Utilities - Regulated Electric
EIX,EDISON INTL.,2023,77.85,67.54,54.13,19.72,Utilities,Utilities - Regulated Electric
EIX,EDISON INTL.,2024,75.11,62.36,53.03,34.04,Utilities,Utilities - Regulated Electric
EL,ESTEE LAUDER COS.'A',2020,75.71,27.64,91.23,68.2,Consumer Defensive,Household & Personal Products
EL,ESTEE LAUDER COS.'A',2021,78.65,27.0,91.31,61.96,Consumer Defensive,Household & Personal Products
EL,ESTEE LAUDER COS.'A',2022,78.29,29.66,90.09,46.09,Consumer Defensive,Household & Personal Products
EL,ESTEE LAUDER COS.'A',2023,76.54,22.65,89.24,43.07,Consumer Defensive,Household & Personal Products
EL,ESTEE LAUDER COS.'A',2024,73.51,23.05,89.3,44.59,Consumer Defensive,Household & Personal Products
ELV,ELEVANCE HEALTH,2020,23.95,87.32,60.86,58.4,Healthcare,Healthcare Plans
ELV,ELEVANCE HEALTH,2021,54.0,89.13,63.2,60.64,Healthcare,Healthcare Plans
ELV,ELEVANCE HEALTH,2022,64.46,89.35,70.19,62.97,Healthcare,Healthcare Plans
ELV,ELEVANCE HEALTH,2023,82.4,84.17,67.28,62.25,Healthcare,Healthcare Plans
ELV,ELEVANCE HEALTH,2024,83.7,83.71,68.31,61.33,Healthcare,Healthcare Plans
EME,EMCOR GROUP,2020,84.41,61.87,57.83,83.47,Industrials,Engineering & Construction
EME,EMCOR GROUP,2021,84.54,59.81,73.85,82.96,Industrials,Engineering & Construction
EME,EMCOR GROUP,2022,80.28,70.57,76.92,80.1,Industrials,Engineering & Construction
EME,EMCOR GROUP,2023,83.67,66.16,76.09,76.33,Industrials,Engineering & Construction
EME,EMCOR GROUP,2024,80.83,63.55,68.21,67.77,Industrials,Engineering & Construction
EMR,EMERSON ELECTRIC,2020,76.94,52.88,78.87,68.21,Industrials,Specialty Industrial Machinery
EMR,EMERSON ELECTRIC,2021,76.46,69.38,79.7,58.86,Industrials,Specialty Industrial Machinery
EMR,EMERSON ELECTRIC,2022,76.19,66.92,80.92,75.38,Industrials,Specialty Industrial Machinery
EMR,EMERSON ELECTRIC,2023,73.57,77.23,80.08,74.38,Industrials,Specialty Industrial Machinery
EMR,EMERSON ELECTRIC,2024,70.57,77.17,79.75,73.35,Industrials,Specialty Industrial Machinery
EOG,EOG RES.,2020,85.79,83.03,64.54,51.23,Energy,Oil & Gas E&P
EOG,EOG RES.,2021,85.23,91.87,69.6,67.05,Energy,Oil & Gas E&P
EOG,EOG RES.,2022,69.71,87.32,68.47,66.64,Energy,Oil & Gas E&P
EOG,EOG RES.,2023,76.18,81.5,66.08,62.29,Energy,Oil & Gas E&P
EOG,EOG RES.,2024,73.98,76.42,64.18,63.13,Energy,Oil & Gas E&P
EPAM,EPAM SYSTEMS,2020,77.82,48.78,78.53,,Technology,Information Technology Services
EPAM,EPAM SYSTEMS,2021,70.63,57.99,77.8,,Technology,Information Technology Services
EPAM,EPAM SYSTEMS,2022,68.91,62.43,76.98,,Technology,Information Technology Services
EPAM,EPAM SYSTEMS,2023,67.8,59.1,71.73,78.01,Technology,Information Technology Services
EPAM,EPAM SYSTEMS,2024,81.2,56.99,70.41,84.17,Technology,Information Technology Services
EQIX,EQUINIX REIT,2020,89.1,41.39,56.14,83.68,Real Estate,REIT - Specialty
EQIX,EQUINIX REIT,2021,63.99,39.9,52.4,81.25,Real Estate,REIT - Specialty
EQIX,EQUINIX REIT,2022,63.34,51.37,48.76,87.96,Real Estate,REIT - Specialty
EQIX,EQUINIX REIT,2023,61.24,52.59,44.57,85.32,Real Estate,REIT - Specialty
EQIX,EQUINIX REIT,2024,59.01,43.6,60.09,83.6,Real Estate,REIT - Specialty
EQR,EQUITY RESD.TST.PROPS. SHBI,2020,72.7,77.62,88.08,43.46,Real Estate,REIT - Residential
EQR,EQUITY RESD.TST.PROPS. SHBI,2021,63.61,84.07,85.35,62.56,Real Estate,REIT - Residential
EQR,EQUITY RESD.TST.PROPS. SHBI,2022,54.94,82.53,90.48,54.87,Real Estate,REIT - Residential
EQR,EQUITY RESD.TST.PROPS. SHBI,2023,57.88,80.58,88.67,48.59,Real Estate,REIT - Residential
EQR,EQUITY RESD.TST.PROPS. SHBI,2024,41.91,83.36,83.69,47.92,Real Estate,REIT - Residential
EQT,EQT,2020,49.86,28.6,89.96,29.57,Energy,Oil & Gas E&P
EQT,EQT,2021,47.81,28.03,83.16,53.41,Energy,Oil & Gas E&P
EQT,EQT,2022,44.78,40.64,91.35,60.46,Energy,Oil & Gas E&P
EQT,EQT,2023,42.61,37.62,87.97,59.33,Energy,Oil & Gas E&P
EQT,EQT,2024,35.49,37.32,71.64,59.47,Energy,Oil & Gas E&P
ERIE,ERIE INDEMNITY 'A',2020,73.73,67.46,67.37,72.0,Financial Services,Insurance Brokers
ERIE,ERIE INDEMNITY 'A',2021,74.33,71.51,58.36,78.45,Financial Services,Insurance Brokers
ERIE,ERIE INDEMNITY 'A',2022,69.56,70.79,78.11,75.9,Financial Services,Insurance Brokers
ERIE,ERIE INDEMNITY 'A',2023,66.62,73.46,78.3,72.54,Financial Services,Insurance Brokers
ERIE,ERIE INDEMNITY 'A',2024,65.6,73.34,81.8,68.96,Financial Services,Insurance Brokers
ES,EVERSOURCE ENERGY,2020,80.81,13.28,73.51,65.73,Utilities,Utilities - Regulated Electric
ES,EVERSOURCE ENERGY,2021,80.14,16.76,77.67,67.01,Utilities,Utilities - Regulated Electric
ES,EVERSOURCE ENERGY,2022,78.62,26.28,78.9,66.92,Utilities,Utilities - Regulated Electric
ES,EVERSOURCE ENERGY,2023,78.68,29.72,74.15,65.44,Utilities,Utilities - Regulated Electric
ES,EVERSOURCE ENERGY,2024,76.03,24.37,75.0,63.09,Utilities,Utilities - Regulated Electric
ESS,ESSEX PROPERTY TST.,2020,87.37,75.14,61.93,70.75,Real Estate,REIT - Residential
ESS,ESSEX PROPERTY TST.,2021,84.22,73.26,75.71,71.62,Real Estate,REIT - Residential
ESS,ESSEX PROPERTY TST.,2022,80.82,72.58,71.41,71.43,Real Estate,REIT - Residential
ESS,ESSEX PROPERTY TST.,2023,67.46,68.62,71.99,71.08,Real Estate,REIT - Residential
ESS,ESSEX PROPERTY TST.,2024,63.08,69.59,71.35,70.83,Real Estate,REIT - Residential
ETN,EATON,2020,69.47,97.9,53.7,65.44,Industrials,Specialty Industrial Machinery
ETN,EATON,2021,66.95,93.78,68.48,67.02,Industrials,Specialty Industrial Machinery
ETN,EATON,2022,69.73,91.11,67.66,72.71,Industrials,Specialty Industrial Machinery
ETN,EATON,2023,66.92,86.17,68.62,65.2,Industrials,Specialty Industrial Machinery
ETN,EATON,2024,65.83,90.16,55.71,66.29,Industrials,Specialty Industrial Machinery
ETR,ENTERGY,2020,44.48,75.75,55.8,77.46,Utilities,Utilities - Regulated Electric
ETR,ENTERGY,2021,43.55,82.66,63.43,75.66,Utilities,Utilities - Regulated Electric
ETR,ENTERGY,2022,42.14,80.12,55.21,76.66,Utilities,Utilities - Regulated Electric
ETR,ENTERGY,2023,38.85,76.05,60.18,76.34,Utilities,Utilities - Regulated Electric
ETR,ENTERGY,2024,39.21,75.72,61.18,73.8,Utilities,Utilities - Regulated Electric
EVRG,EVERGY,2020,47.48,65.48,75.53,53.82,Utilities,Utilities - Regulated Electric
EVRG,EVERGY,2021,55.54,63.26,78.48,54.24,Utilities,Utilities - Regulated Electric
EVRG,EVERGY,2022,78.46,71.99,77.57,55.34,Utilities,Utilities - Regulated Electric
EVRG,EVERGY,2023,73.86,67.69,75.08,57.71,Utilities,Utilities - Regulated Electric
EVRG,EVERGY,2024,65.08,66.88,76.11,55.57,Utilities,Utilities - Regulated Electric
EW,EDWARDS LIFESCIENCES,2020,75.78,54.76,57.08,88.73,Healthcare,Medical Devices
EW,EDWARDS LIFESCIENCES,2021,74.22,63.64,64.31,89.68,Healthcare,Medical Devices
EW,EDWARDS LIFESCIENCES,2022,68.19,63.75,63.05,88.06,Healthcare,Medical Devices
EW,EDWARDS LIFESCIENCES,2023,67.45,65.77,67.16,89.91,Healthcare,Medical Devices
EW,EDWARDS LIFESCIENCES,2024,74.33,50.89,65.61,86.04,Healthcare,Medical Devices
EXC,EXELON,2020,36.97,78.25,78.83,51.36,Utilities,Utilities - Regulated Electric
EXC,EXELON,2021,63.17,75.35,80.97,59.81,Utilities,Utilities - Regulated Electric
EXC,EXELON,2022,52.23,74.3,78.89,58.7,Utilities,Utilities - Regulated Electric
EXC,EXELON,2023,63.8,71.7,72.41,59.39,Utilities,Utilities - Regulated Electric
EXC,EXELON,2024,82.21,72.27,70.84,55.46,Utilities,Utilities - Regulated Electric
EXE,EXPAND ENERGY,2020,54.94,11.49,59.26,87.72,Energy,Oil & Gas E&P
EXE,EXPAND ENERGY,2021,57.36,9.94,67.3,81.44,Energy,Oil & Gas E&P
EXE,EXPAND ENERGY,2022,59.83,21.66,65.81,82.97,Energy,Oil & Gas E&P
EXE,EXPAND ENERGY,2023,57.74,46.76,64.64,81.5,Energy,Oil & Gas E&P
EXE,EXPAND ENERGY,2024,61.72,47.66,64.86,89.33,Energy,Oil & Gas E&P
EXPD,EXPEDITORS INTL.OF WASH. A,2020,59.43,15.01,84.64,57.98,Industrials,Integrated Freight & Logistics
EXPD,EXPEDITORS INTL.OF WASH. A,2021,72.6,21.75,82.34,56.41,Industrials,Integrated Freight & Logistics
EXPD,EXPEDITORS INTL.OF WASH. A,2022,79.06,37.21,90.24,16.55,Industrials,Integrated Freight & Logistics
EXPD,EXPEDITORS INTL.OF WASH. A,2023,71.02,37.03,88.68,11.59,Industrials,Integrated Freight & Logistics
EXPD,EXPEDITORS INTL.OF WASH. A,2024,66.98,34.85,86.92,18.27,Industrials,Integrated Freight & Logistics
EXPE,EXPEDIA GROUP,2020,73.07,94.08,54.78,30.06,Consumer Cyclical,Travel Services
EXPE,EXPEDIA GROUP,2021,55.16,87.57,54.39,30.29,Consumer Cyclical,Travel Services
EXPE,EXPEDIA GROUP,2022,71.88,90.04,65.69,33.29,Consumer Cyclical,Travel Services
EXPE,EXPEDIA GROUP,2023,81.36,85.9,59.9,37.05,Consumer Cyclical,Travel Services
EXPE,EXPEDIA GROUP,2024,60.02,85.64,59.16,35.88,Consumer Cyclical,Travel Services
EXR,EXTRA SPACE STRG.,2020,77.4,76.08,75.15,83.28,Real Estate,REIT - Industrial
EXR,EXTRA SPACE STRG.,2021,73.46,75.18,72.89,87.54,Real Estate,REIT - Industrial
EXR,EXTRA SPACE STRG.,2022,66.44,73.55,73.02,91.99,Real Estate,REIT - Industrial
EXR,EXTRA SPACE STRG.,2023,75.38,72.25,69.95,90.31,Real Estate,REIT - Industrial
EXR,EXTRA SPACE STRG.,2024,80.72,71.58,67.51,81.03,Real Estate,REIT - Industrial
F,FORD MOTOR,2020,49.29,44.31,93.55,69.78,Consumer Cyclical,Auto Manufacturers
F,FORD MOTOR,2021,49.36,43.62,91.41,70.55,Consumer Cyclical,Auto Manufacturers
F,FORD MOTOR,2022,52.1,41.97,93.77,72.44,Consumer Cyclical,Auto Manufacturers
F,FORD MOTOR,2023,59.21,39.86,93.28,68.02,Consumer Cyclical,Auto Manufacturers
F,FORD MOTOR,2024,61.05,39.3,92.66,76.91,Consumer Cyclical,Auto Manufacturers
FANG,DIAMONDBACK ENERGY,2020,46.85,66.69,42.2,88.59,Energy,Oil & Gas E&P
FANG,DIAMONDBACK ENERGY,2021,36.71,73.83,49.32,86.13,Energy,Oil & Gas E&P
FANG,DIAMONDBACK ENERGY,2022,50.18,76.67,57.15,84.32,Energy,Oil & Gas E&P
FANG,DIAMONDBACK ENERGY,2023,35.16,80.36,57.09,84.45,Energy,Oil & Gas E&P
FANG,DIAMONDBACK ENERGY,2024,42.98,72.7,59.95,84.23,Energy,Oil & Gas E&P
FAST,FASTENAL,2020,81.58,67.01,61.99,63.37,Industrials,Industrial Distribution
FAST,FASTENAL,2021,82.95,69.71,57.4,57.09,Industrials,Industrial Distribution
FAST,FASTENAL,2022,82.85,68.02,60.98,57.29,Industrials,Industrial Distribution
